Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,,
FOR,Forestar Group Inc,34,"1,304","1,338",20,67,2,65,,
ABB,ABB Ltd,819,513,"1,332",20,67,41,26,,
DPS,Dr Pepper Snapple Group Inc,432,893,"1,325",20,66,22,45,,
WGO,Winnebago Industries Inc,511,805,"1,316",20,66,26,40,,
SPN,Superior Energy Services Inc,"1,144",171,"1,315",20,66,57,9,,
WPG,Washington Prime Group Inc,614,701,"1,315",20,66,31,35,,
LPX,Louisiana-Pacific Corp,852,462,"1,314",20,66,43,23,,
LPI,Laredo Petroleum Inc,"1,209",101,"1,310",20,66,60,5,,
ACXM,Acxiom Corp,"1,298",11,"1,309",20,65,65,1,,
NK,NantKwest Inc,"1,021",288,"1,309",20,65,51,14,,
FSM,Fortuna Silver Mines Inc,929,377,"1,306",20,65,46,19,,
GPOR,Gulfport Energy Corp,528,776,"1,304",20,65,26,39,,
NPTN,NeoPhotonics Corp,877,425,"1,302",20,65,44,21,,
TEN,Tenneco Inc,918,383,"1,301",20,65,46,19,,
GTY,Getty Realty Corp,"1,291",9,"1,300",20,65,65,0,,
AXDX,Accelerate Diagnostics Inc,275,"1,025","1,300",20,65,14,51,,
ITCI,Intra-Cellular Therapies Inc,"1,248",49,"1,297",20,65,62,2,,
CB,Chubb Ltd,"1,020",277,"1,297",20,65,51,14,,
AVB,AvalonBay Communities Inc,369,928,"1,297",20,65,18,46,,
CLDX,Celldex Therapeutics Inc,604,692,"1,296",20,65,30,35,,
NYMX,Nymox Pharmaceutical Corp,687,608,"1,295",20,65,34,30,,
CVRR,CVR Refining LP,786,504,"1,290",20,65,39,25,,
OLN,Olin Corp,960,321,"1,281",20,64,48,16,,
ISBC,Investors Bancorp Inc,630,650,"1,280",20,64,32,33,,
LNC,Lincoln National Corp,998,270,"1,268",20,63,50,14,,
CLMT,Calumet Specialty Products Partners LP,"1,045",213,"1,258",20,63,52,11,,
SF,Stifel Financial Corp,452,806,"1,258",20,63,23,40,,
ANW,Aegean Marine Petroleum Network Inc,220,"1,038","1,258",20,63,11,52,,
EXP,Eagle Materials Inc,802,451,"1,253",20,63,40,23,,
BDX,Becton Dickinson and Co,547,704,"1,251",20,63,27,35,,
TTS,Tile Shop Holdings Inc,355,895,"1,250",20,63,18,45,,
EGHT,8x8 Inc,"1,069",179,"1,248",20,62,53,9,,
BITA,Bitauto Holdings Ltd,883,365,"1,248",20,62,44,18,,
CBG,CBRE Group Inc,303,945,"1,248",20,62,15,47,,
KND,Kindred Healthcare Inc,634,613,"1,247",20,62,32,31,,
CALD,Callidus Software Inc,"1,205",39,"1,244",20,62,60,2,,
UBS,UBS Group AG,"1,087",151,"1,238",20,62,54,8,,
SEE,Sealed Air Corp,"1,103",134,"1,237",20,62,55,7,,
LUK,Leucadia National Corp,"1,141",95,"1,236",20,62,57,5,,
AMCX,AMC Networks Inc,751,479,"1,230",20,62,38,24,,
SPNC,Spectranetics Corp/The,"1,183",40,"1,223",20,61,59,2,,
AAXN,Axon Enterprise Inc,820,401,"1,221",20,61,41,20,,
MDCO,Medicines Co/The,768,453,"1,221",20,61,38,23,,
NVO,Novo Nordisk A/S,600,621,"1,221",20,61,30,31,,
GRA,WR Grace & Co,562,638,"1,200",20,60,28,32,,
AFMD,Affimed NV,"1,193",2,"1,195",20,60,60,0,,
RDC,Rowan Cos Plc,827,368,"1,195",20,60,41,18,,
CPA,Copa Holdings SA,483,707,"1,190",20,60,24,35,,
KW,Kennedy-Wilson Holdings Inc,"1,163",20,"1,183",20,59,58,1,,
EAT,Brinker International Inc,314,869,"1,183",20,59,16,43,,
FHN,First Horizon National Corp,718,460,"1,178",20,59,36,23,,
MSI,Motorola Solutions Inc,718,460,"1,178",20,59,36,23,,
POOL,Pool Corp,17,"1,161","1,178",20,59,1,58,,
BCRX,BioCryst Pharmaceuticals Inc,"1,075",100,"1,175",20,59,54,5,,
UHS,Universal Health Services Inc,286,887,"1,173",20,59,14,44,,
CLNS,Colony NorthStar Inc,878,294,"1,172",20,59,44,15,,
ETSY,Etsy Inc,494,677,"1,171",20,59,25,34,,
NCLH,Norwegian Cruise Line Holdings Ltd,433,736,"1,169",20,58,22,37,,
AXTI,AXT Inc,"1,112",55,"1,167",20,58,56,3,,
ARLZ,Aralez Pharmaceuticals Inc,"1,149",10,"1,159",20,58,57,1,,
OAK,Oaktree Capital Group LLC,674,473,"1,147",20,57,34,24,,
SFL,Ship Finance International Ltd,791,355,"1,146",20,57,40,18,,
