Symbol,Name,Call,Put,Tot,Days,Tot ADV,Call ADV,Put ADV,
UCTT,Ultra Clean Holdings Inc,"1,885",415,"2,300",23,100,82,18,
UFS,Domtar Corp,"1,970",329,"2,299",23,100,86,14,
CVRR,CVR Refining LP,"1,889",410,"2,299",23,100,82,18,
BYD,Boyd Gaming Corp,"1,812",473,"2,285",23,99,79,21,
BOFI,BofI Holding Inc,"1,083","1,201","2,284",23,99,47,52,
DBVT,DBV Technologies SA,"1,283",999,"2,282",23,99,56,43,
TRTN,Triton International Ltd/Bermuda,"1,728",547,"2,275",23,99,75,24,
WETF,WisdomTree Investments Inc,917,"1,357","2,274",23,99,40,59,
MZOR,Mazor Robotics Ltd,"1,828",445,"2,273",23,99,79,19,
CI,Cigna Corp,"1,460",813,"2,273",23,99,63,35,
PBI,Pitney Bowes Inc,948,"1,320","2,268",23,99,41,57,
TDOC,Teladoc Inc,"1,461",806,"2,267",23,99,64,35,
JBL,Jabil Inc,945,"1,321","2,266",23,99,41,57,
JMEI,Jumei International Holding Ltd,"1,708",550,"2,258",23,98,74,24,
HA,Hawaiian Holdings Inc,"1,275",982,"2,257",23,98,55,43,
ABY,Atlantica Yield plc,"1,216","1,031","2,247",23,98,53,45,
UL,Unilever PLC,"2,097",133,"2,230",23,97,91,6,
FLS,Flowserve Corp,437,"1,792","2,229",23,97,19,78,
JILL,J. Jill Inc,"1,333",894,"2,227",23,97,58,39,
RMD,ResMed Inc,"1,249",975,"2,224",23,97,54,42,
RDC,Rowan Cos Plc,868,"1,351","2,219",23,96,38,59,
SNA,Snap-on Inc,908,"1,310","2,218",23,96,39,57,
PLD,Prologis Inc,"1,363",851,"2,214",23,96,59,37,
CRTO,Criteo SA,910,"1,300","2,210",23,96,40,57,
GOV,Government Properties Income Trust,"1,880",320,"2,200",23,96,82,14,
LPX,Louisiana-Pacific Corp,"2,064",135,"2,199",23,96,90,6,
PX,Praxair Inc,"1,152","1,045","2,197",23,96,50,45,
LAZ,Lazard Ltd,"1,731",465,"2,196",23,95,75,20,
CDNS,Cadence Design Systems Inc,"1,875",318,"2,193",23,95,82,14,
DISCK,Discovery Communications Inc,852,"1,339","2,191",23,95,37,58,
XEC,Cimarex Energy Co,"1,480",704,"2,184",23,95,64,31,
SYK,Stryker Corp,"1,356",827,"2,183",23,95,59,36,
HCC,Warrior Met Coal Inc,"1,906",268,"2,174",23,95,83,12,
GBT,Global Blood Therapeutics Inc,"1,592",581,"2,173",23,94,69,25,
DEO,Diageo PLC,"1,609",559,"2,168",23,94,70,24,
YRCW,YRC Worldwide Inc,"1,644",515,"2,159",23,94,71,22,
GNTX,Gentex Corp,564,"1,590","2,154",23,94,25,69,
NGL,NGL Energy Partners LP,"1,034","1,119","2,153",23,94,45,49,
ASML,ASML Holding NV,"1,308",837,"2,145",23,93,57,36,
DLR,Digital Realty Trust Inc,"1,629",515,"2,144",23,93,71,22,
RRD,RR Donnelley & Sons Co,"1,896",247,"2,143",23,93,82,11,
STRP,Straight Path Communications Inc,"1,859",280,"2,139",23,93,81,12,
BTU,Peabody Energy Corp,354,"1,785","2,139",23,93,15,78,
MD,MEDNAX Inc,137,"1,996","2,133",23,93,6,87,
ONVO,Organovo Holdings Inc,990,"1,134","2,124",23,92,43,49,
PIR,Pier 1 Imports Inc,387,"1,727","2,114",23,92,17,75,
